model_tag,protocol,feature_set,true_label,pred_label,count
ALL,leave_one_prompt::BZ05,full,monarch,lowrank,3
ALL,leave_one_prompt::BZ05,full,monarch,monarch,162
ALL,leave_one_prompt::BZ09,full,banded,banded,21
ALL,leave_one_prompt::BZ09,full,banded,lowrank,0
ALL,leave_one_prompt::BZ09,full,banded,monarch,0
ALL,leave_one_prompt::BZ09,full,lowrank,banded,0
ALL,leave_one_prompt::BZ09,full,lowrank,lowrank,2273
ALL,leave_one_prompt::BZ09,full,lowrank,monarch,82
ALL,leave_one_prompt::BZ09,full,monarch,banded,22
ALL,leave_one_prompt::BZ09,full,monarch,lowrank,1
ALL,leave_one_prompt::BZ09,full,monarch,monarch,177
ALL,leave_one_prompt::TC01,full,banded,banded,25
ALL,leave_one_prompt::TC01,full,banded,lowrank,0
ALL,leave_one_prompt::TC01,full,banded,monarch,0
ALL,leave_one_prompt::TC01,full,lowrank,banded,0
ALL,leave_one_prompt::TC01,full,lowrank,lowrank,2287
ALL,leave_one_prompt::TC01,full,lowrank,monarch,93
ALL,leave_one_prompt::TC01,full,monarch,banded,25
ALL,leave_one_prompt::TC01,full,monarch,lowrank,1
ALL,leave_one_prompt::TC01,full,monarch,monarch,145
ALL,leave_one_prompt::TC02,full,banded,banded,21
ALL,leave_one_prompt::TC02,full,banded,lowrank,0
ALL,leave_one_prompt::TC02,full,banded,monarch,0
ALL,leave_one_prompt::TC02,full,lowrank,banded,0
ALL,leave_one_prompt::TC02,full,lowrank,lowrank,2282
ALL,leave_one_prompt::TC02,full,lowrank,monarch,79
ALL,leave_one_prompt::TC02,full,monarch,banded,24
ALL,leave_one_prompt::TC02,full,monarch,lowrank,1
ALL,leave_one_prompt::TC02,full,monarch,monarch,169
ALL,leave_one_prompt::TC08,full,banded,banded,22
ALL,leave_one_prompt::TC08,full,banded,lowrank,0
ALL,leave_one_prompt::TC08,full,banded,monarch,0
ALL,leave_one_prompt::TC08,full,lowrank,banded,0
ALL,leave_one_prompt::TC08,full,lowrank,lowrank,2282
ALL,leave_one_prompt::TC08,full,lowrank,monarch,74
ALL,leave_one_prompt::TC08,full,monarch,banded,22
ALL,leave_one_prompt::TC08,full,monarch,lowrank,2
ALL,leave_one_prompt::TC08,full,monarch,monarch,174
ALL,leave_one_prompt::TC10,full,banded,banded,20
ALL,leave_one_prompt::TC10,full,banded,lowrank,0
ALL,leave_one_prompt::TC10,full,banded,monarch,1
ALL,leave_one_prompt::TC10,full,lowrank,banded,0
ALL,leave_one_prompt::TC10,full,lowrank,lowrank,2269
ALL,leave_one_prompt::TC10,full,lowrank,monarch,93
ALL,leave_one_prompt::TC10,full,monarch,banded,24
ALL,leave_one_prompt::TC10,full,monarch,lowrank,0
ALL,leave_one_prompt::TC10,full,monarch,monarch,169
ALL,leave_one_prompt::TR01,full,banded,banded,10
ALL,leave_one_prompt::TR01,full,banded,lowrank,0
ALL,leave_one_prompt::TR01,full,banded,monarch,0
ALL,leave_one_prompt::TR01,full,lowrank,banded,0
ALL,leave_one_prompt::TR01,full,lowrank,lowrank,2167
ALL,leave_one_prompt::TR01,full,lowrank,monarch,79
ALL,leave_one_prompt::TR01,full,monarch,banded,5
ALL,leave_one_prompt::TR01,full,monarch,lowrank,5
ALL,leave_one_prompt::TR01,full,monarch,monarch,310
ALL,leave_one_prompt::TR02,full,banded,banded,13
ALL,leave_one_prompt::TR02,full,banded,lowrank,0
ALL,leave_one_prompt::TR02,full,banded,monarch,0
ALL,leave_one_prompt::TR02,full,lowrank,banded,0
ALL,leave_one_prompt::TR02,full,lowrank,lowrank,2179
ALL,leave_one_prompt::TR02,full,lowrank,monarch,73
ALL,leave_one_prompt::TR02,full,monarch,banded,3
ALL,leave_one_prompt::TR02,full,monarch,lowrank,9
ALL,leave_one_prompt::TR02,full,monarch,monarch,299
ALL,leave_one_prompt::TR05,full,banded,banded,10
ALL,leave_one_prompt::TR05,full,banded,lowrank,0
ALL,leave_one_prompt::TR05,full,banded,monarch,1
ALL,leave_one_prompt::TR05,full,lowrank,banded,0
ALL,leave_one_prompt::TR05,full,lowrank,lowrank,2155
ALL,leave_one_prompt::TR05,full,lowrank,monarch,90
ALL,leave_one_prompt::TR05,full,monarch,banded,7
ALL,leave_one_prompt::TR05,full,monarch,lowrank,6
ALL,leave_one_prompt::TR05,full,monarch,monarch,307
ALL,leave_one_prompt::TR08,full,banded,banded,7
ALL,leave_one_prompt::TR08,full,banded,lowrank,0
ALL,leave_one_prompt::TR08,full,banded,monarch,3
ALL,leave_one_prompt::TR08,full,lowrank,banded,0
ALL,leave_one_prompt::TR08,full,lowrank,lowrank,2157
ALL,leave_one_prompt::TR08,full,lowrank,monarch,72
ALL,leave_one_prompt::TR08,full,monarch,banded,6
ALL,leave_one_prompt::TR08,full,monarch,lowrank,10
ALL,leave_one_prompt::TR08,full,monarch,monarch,321
ALL,leave_one_prompt_macro,full,banded,banded,223
ALL,leave_one_prompt_macro,full,banded,lowrank,0
ALL,leave_one_prompt_macro,full,banded,monarch,7
ALL,leave_one_prompt_macro,full,lowrank,banded,0
ALL,leave_one_prompt_macro,full,lowrank,lowrank,26915
ALL,leave_one_prompt_macro,full,lowrank,monarch,995
ALL,leave_one_prompt_macro,full,monarch,banded,207
ALL,leave_one_prompt_macro,full,monarch,lowrank,40
ALL,leave_one_prompt_macro,full,monarch,monarch,2525
ALL,group_split_by_model_task_layer,no_seq_len,banded,banded,28
ALL,group_split_by_model_task_layer,no_seq_len,banded,lowrank,0
ALL,group_split_by_model_task_layer,no_seq_len,banded,monarch,3
ALL,group_split_by_model_task_layer,no_seq_len,lowrank,banded,0
ALL,group_split_by_model_task_layer,no_seq_len,lowrank,lowrank,6636
ALL,group_split_by_model_task_layer,no_seq_len,lowrank,monarch,218
ALL,group_split_by_model_task_layer,no_seq_len,monarch,banded,31
ALL,group_split_by_model_task_layer,no_seq_len,monarch,lowrank,11
ALL,group_split_by_model_task_layer,no_seq_len,monarch,monarch,657
ALL,leave_one_prompt::BZ01,no_seq_len,banded,banded,25
ALL,leave_one_prompt::BZ01,no_seq_len,banded,lowrank,0
ALL,leave_one_prompt::BZ01,no_seq_len,banded,monarch,0
ALL,leave_one_prompt::BZ01,no_seq_len,lowrank,banded,0
ALL,leave_one_prompt::BZ01,no_seq_len,lowrank,lowrank,2288
ALL,leave_one_prompt::BZ01,no_seq_len,lowrank,monarch,94
ALL,leave_one_prompt::BZ01,no_seq_len,monarch,banded,24
ALL,leave_one_prompt::BZ01,no_seq_len,monarch,lowrank,1
ALL,leave_one_prompt::BZ01,no_seq_len,monarch,monarch,144
ALL,leave_one_prompt::BZ02,no_seq_len,banded,banded,25
ALL,leave_one_prompt::BZ02,no_seq_len,banded,lowrank,0
ALL,leave_one_prompt::BZ02,no_seq_len,banded,monarch,2
ALL,leave_one_prompt::BZ02,no_seq_len,lowrank,banded,0
ALL,leave_one_prompt::BZ02,no_seq_len,lowrank,lowrank,2285
ALL,leave_one_prompt::BZ02,no_seq_len,lowrank,monarch,95
ALL,leave_one_prompt::BZ02,no_seq_len,monarch,banded,23
ALL,leave_one_prompt::BZ02,no_seq_len,monarch,lowrank,1
ALL,leave_one_prompt::BZ02,no_seq_len,monarch,monarch,145
ALL,leave_one_prompt::BZ05,no_seq_len,banded,banded,24
ALL,leave_one_prompt::BZ05,no_seq_len,banded,lowrank,0
ALL,leave_one_prompt::BZ05,no_seq_len,banded,monarch,0
ALL,leave_one_prompt::BZ05,no_seq_len,lowrank,banded,0
ALL,leave_one_prompt::BZ05,no_seq_len,lowrank,lowrank,2286
ALL,leave_one_prompt::BZ05,no_seq_len,lowrank,monarch,76
ALL,leave_one_prompt::BZ05,no_seq_len,monarch,banded,29
ALL,leave_one_prompt::BZ05,no_seq_len,monarch,lowrank,2
ALL,leave_one_prompt::BZ05,no_seq_len,monarch,monarch,159
ALL,leave_one_prompt::BZ09,no_seq_len,banded,banded,21
ALL,leave_one_prompt::BZ09,no_seq_len,banded,lowrank,0
ALL,leave_one_prompt::BZ09,no_seq_len,banded,monarch,0
ALL,leave_one_prompt::BZ09,no_seq_len,lowrank,banded,0
ALL,leave_one_prompt::BZ09,no_seq_len,lowrank,lowrank,2265
ALL,leave_one_prompt::BZ09,no_seq_len,lowrank,monarch,90
ALL,leave_one_prompt::BZ09,no_seq_len,monarch,banded,23
ALL,leave_one_prompt::BZ09,no_seq_len,monarch,lowrank,1
ALL,leave_one_prompt::BZ09,no_seq_len,monarch,monarch,176
ALL,leave_one_prompt::TC01,no_seq_len,banded,banded,25
ALL,leave_one_prompt::TC01,no_seq_len,banded,lowrank,0
ALL,leave_one_prompt::TC01,no_seq_len,banded,monarch,0
ALL,leave_one_prompt::TC01,no_seq_len,lowrank,banded,0
ALL,leave_one_prompt::TC01,no_seq_len,lowrank,lowrank,2285
ALL,leave_one_prompt::TC01,no_seq_len,lowrank,monarch,95
ALL,leave_one_prompt::TC01,no_seq_len,monarch,banded,26
ALL,leave_one_prompt::TC01,no_seq_len,monarch,lowrank,2
ALL,leave_one_prompt::TC01,no_seq_len,monarch,monarch,143
ALL,leave_one_prompt::TC02,no_seq_len,banded,banded,21
ALL,leave_one_prompt::TC02,no_seq_len,banded,lowrank,0
ALL,leave_one_prompt::TC02,no_seq_len,banded,monarch,0
ALL,leave_one_prompt::TC02,no_seq_len,lowrank,banded,0
ALL,leave_one_prompt::TC02,no_seq_len,lowrank,lowrank,2277
ALL,leave_one_prompt::TC02,no_seq_len,lowrank,monarch,84
ALL,leave_one_prompt::TC02,no_seq_len,monarch,banded,24
ALL,leave_one_prompt::TC02,no_seq_len,monarch,lowrank,0
ALL,leave_one_prompt::TC02,no_seq_len,monarch,monarch,170
ALL,leave_one_prompt::TC08,no_seq_len,banded,banded,22
ALL,leave_one_prompt::TC08,no_seq_len,banded,lowrank,0
ALL,leave_one_prompt::TC08,no_seq_len,banded,monarch,0
ALL,leave_one_prompt::TC08,no_seq_len,lowrank,banded,0
ALL,leave_one_prompt::TC08,no_seq_len,lowrank,lowrank,2279
ALL,leave_one_prompt::TC08,no_seq_len,lowrank,monarch,77
ALL,leave_one_prompt::TC08,no_seq_len,monarch,banded,22
ALL,leave_one_prompt::TC08,no_seq_len,monarch,lowrank,2
ALL,leave_one_prompt::TC08,no_seq_len,monarch,monarch,174
ALL,leave_one_prompt::TC10,no_seq_len,banded,banded,20
ALL,leave_one_prompt::TC10,no_seq_len,banded,lowrank,0
ALL,leave_one_prompt::TC10,no_seq_len,banded,monarch,1
ALL,leave_one_prompt::TC10,no_seq_len,lowrank,banded,0
ALL,leave_one_prompt::TC10,no_seq_len,lowrank,lowrank,2262
ALL,leave_one_prompt::TC10,no_seq_len,lowrank,monarch,100
ALL,leave_one_prompt::TC10,no_seq_len,monarch,banded,25
ALL,leave_one_prompt::TC10,no_seq_len,monarch,lowrank,0
ALL,leave_one_prompt::TC10,no_seq_len,monarch,monarch,168
ALL,leave_one_prompt::TR01,no_seq_len,banded,banded,10
ALL,leave_one_prompt::TR01,no_seq_len,banded,lowrank,0
ALL,leave_one_prompt::TR01,no_seq_len,banded,monarch,0
ALL,leave_one_prompt::TR01,no_seq_len,lowrank,banded,0
ALL,leave_one_prompt::TR01,no_seq_len,lowrank,lowrank,2180
ALL,leave_one_prompt::TR01,no_seq_len,lowrank,monarch,66
ALL,leave_one_prompt::TR01,no_seq_len,monarch,banded,5
ALL,leave_one_prompt::TR01,no_seq_len,monarch,lowrank,10
ALL,leave_one_prompt::TR01,no_seq_len,monarch,monarch,305
ALL,leave_one_prompt::TR02,no_seq_len,banded,banded,13
ALL,leave_one_prompt::TR02,no_seq_len,banded,lowrank,0
ALL,leave_one_prompt::TR02,no_seq_len,banded,monarch,0
ALL,leave_one_prompt::TR02,no_seq_len,lowrank,banded,0
ALL,leave_one_prompt::TR02,no_seq_len,lowrank,lowrank,2188
ALL,leave_one_prompt::TR02,no_seq_len,lowrank,monarch,64
ALL,leave_one_prompt::TR02,no_seq_len,monarch,banded,3
ALL,leave_one_prompt::TR02,no_seq_len,monarch,lowrank,13
ALL,leave_one_prompt::TR02,no_seq_len,monarch,monarch,295
ALL,leave_one_prompt::TR05,no_seq_len,banded,banded,10
ALL,leave_one_prompt::TR05,no_seq_len,banded,lowrank,0
ALL,leave_one_prompt::TR05,no_seq_len,banded,monarch,1
ALL,leave_one_prompt::TR05,no_seq_len,lowrank,banded,0
ALL,leave_one_prompt::TR05,no_seq_len,lowrank,lowrank,2170
ALL,leave_one_prompt::TR05,no_seq_len,lowrank,monarch,75
ALL,leave_one_prompt::TR05,no_seq_len,monarch,banded,4
ALL,leave_one_prompt::TR05,no_seq_len,monarch,lowrank,8
ALL,leave_one_prompt::TR05,no_seq_len,monarch,monarch,308
ALL,leave_one_prompt::TR08,no_seq_len,banded,banded,7
ALL,leave_one_prompt::TR08,no_seq_len,banded,lowrank,0
ALL,leave_one_prompt::TR08,no_seq_len,banded,monarch,3
ALL,leave_one_prompt::TR08,no_seq_len,lowrank,banded,0
ALL,leave_one_prompt::TR08,no_seq_len,lowrank,lowrank,2165
ALL,leave_one_prompt::TR08,no_seq_len,lowrank,monarch,64
ALL,leave_one_prompt::TR08,no_seq_len,monarch,banded,3
ALL,leave_one_prompt::TR08,no_seq_len,monarch,lowrank,12
ALL,leave_one_prompt::TR08,no_seq_len,monarch,monarch,322
ALL,leave_one_prompt_macro,no_seq_len,banded,banded,223
ALL,leave_one_prompt_macro,no_seq_len,banded,lowrank,0
ALL,leave_one_prompt_macro,no_seq_len,banded,monarch,7
ALL,leave_one_prompt_macro,no_seq_len,lowrank,banded,0
ALL,leave_one_prompt_macro,no_seq_len,lowrank,lowrank,26930
ALL,leave_one_prompt_macro,no_seq_len,lowrank,monarch,980
ALL,leave_one_prompt_macro,no_seq_len,monarch,banded,211
ALL,leave_one_prompt_macro,no_seq_len,monarch,lowrank,52
ALL,leave_one_prompt_macro,no_seq_len,monarch,monarch,2509
gemma3_4b,group_split_by_model_task_layer,full,banded,banded,5
gemma3_4b,group_split_by_model_task_layer,full,banded,lowrank,0
gemma3_4b,group_split_by_model_task_layer,full,banded,monarch,0
gemma3_4b,group_split_by_model_task_layer,full,lowrank,banded,0
gemma3_4b,group_split_by_model_task_layer,full,lowrank,lowrank,619
gemma3_4b,group_split_by_model_task_layer,full,lowrank,monarch,54
gemma3_4b,group_split_by_model_task_layer,full,monarch,banded,6
gemma3_4b,group_split_by_model_task_layer,full,monarch,lowrank,2
gemma3_4b,group_split_by_model_task_layer,full,monarch,monarch,130
gemma3_4b,leave_one_prompt::BZ01,full,banded,banded,3
gemma3_4b,leave_one_prompt::BZ01,full,banded,lowrank,0
gemma3_4b,leave_one_prompt::BZ01,full,banded,monarch,0
gemma3_4b,leave_one_prompt::BZ01,full,lowrank,banded,0
gemma3_4b,leave_one_prompt::BZ01,full,lowrank,lowrank,220
gemma3_4b,leave_one_prompt::BZ01,full,lowrank,monarch,19
gemma3_4b,leave_one_prompt::BZ01,full,monarch,banded,1
gemma3_4b,leave_one_prompt::BZ01,full,monarch,lowrank,0
gemma3_4b,leave_one_prompt::BZ01,full,monarch,monarch,29
gemma3_4b,leave_one_prompt::BZ02,full,banded,banded,3
gemma3_4b,leave_one_prompt::BZ02,full,banded,lowrank,0
gemma3_4b,leave_one_prompt::BZ02,full,banded,monarch,0
gemma3_4b,leave_one_prompt::BZ02,full,lowrank,banded,0
gemma3_4b,leave_one_prompt::BZ02,full,lowrank,lowrank,217
gemma3_4b,leave_one_prompt::BZ02,full,lowrank,monarch,20
gemma3_4b,leave_one_prompt::BZ02,full,monarch,banded,1
gemma3_4b,leave_one_prompt::BZ02,full,monarch,lowrank,0
gemma3_4b,leave_one_prompt::BZ02,full,monarch,monarch,31
gemma3_4b,leave_one_prompt::BZ05,full,banded,banded,3
gemma3_4b,leave_one_prompt::BZ05,full,banded,lowrank,0
gemma3_4b,leave_one_prompt::BZ05,full,banded,monarch,0
gemma3_4b,leave_one_prompt::BZ05,full,lowrank,banded,0
gemma3_4b,leave_one_prompt::BZ05,full,lowrank,lowrank,219
gemma3_4b,leave_one_prompt::BZ05,full,lowrank,monarch,15
gemma3_4b,leave_one_prompt::BZ05,full,monarch,banded,1
gemma3_4b,leave_one_prompt::BZ05,full,monarch,lowrank,1
gemma3_4b,leave_one_prompt::BZ05,full,monarch,monarch,33
gemma3_4b,leave_one_prompt::BZ09,full,banded,banded,3
gemma3_4b,leave_one_prompt::BZ09,full,banded,lowrank,0
gemma3_4b,leave_one_prompt::BZ09,full,banded,monarch,0
gemma3_4b,leave_one_prompt::BZ09,full,lowrank,banded,0
gemma3_4b,leave_one_prompt::BZ09,full,lowrank,lowrank,213
gemma3_4b,leave_one_prompt::BZ09,full,lowrank,monarch,14
gemma3_4b,leave_one_prompt::BZ09,full,monarch,banded,1
gemma3_4b,leave_one_prompt::BZ09,full,monarch,lowrank,0
gemma3_4b,leave_one_prompt::BZ09,full,monarch,monarch,41
gemma3_4b,leave_one_prompt::TC01,full,banded,banded,3
gemma3_4b,leave_one_prompt::TC01,full,banded,lowrank,0
gemma3_4b,leave_one_prompt::TC01,full,banded,monarch,0
gemma3_4b,leave_one_prompt::TC01,full,lowrank,banded,0
gemma3_4b,leave_one_prompt::TC01,full,lowrank,lowrank,215
gemma3_4b,leave_one_prompt::TC01,full,lowrank,monarch,22
gemma3_4b,leave_one_prompt::TC01,full,monarch,banded,1
gemma3_4b,leave_one_prompt::TC01,full,monarch,lowrank,2
gemma3_4b,leave_one_prompt::TC01,full,monarch,monarch,29
gemma3_4b,leave_one_prompt::TC02,full,banded,banded,1
gemma3_4b,leave_one_prompt::TC02,full,banded,lowrank,0
gemma3_4b,leave_one_prompt::TC02,full,banded,monarch,1
gemma3_4b,leave_one_prompt::TC02,full,lowrank,banded,0
gemma3_4b,leave_one_prompt::TC02,full,lowrank,lowrank,219
gemma3_4b,leave_one_prompt::TC02,full,lowrank,monarch,14
gemma3_4b,leave_one_prompt::TC02,full,monarch,banded,2
gemma3_4b,leave_one_prompt::TC02,full,monarch,lowrank,1
gemma3_4b,leave_one_prompt::TC02,full,monarch,monarch,34
gemma3_4b,leave_one_prompt::TC08,full,banded,banded,2
gemma3_4b,leave_one_prompt::TC08,full,banded,lowrank,0
gemma3_4b,leave_one_prompt::TC08,full,banded,monarch,0
gemma3_4b,leave_one_prompt::TC08,full,lowrank,banded,0
gemma3_4b,leave_one_prompt::TC08,full,lowrank,lowrank,218
gemma3_4b,leave_one_prompt::TC08,full,lowrank,monarch,15
gemma3_4b,leave_one_prompt::TC08,full,monarch,banded,2
gemma3_4b,leave_one_prompt::TC08,full,monarch,lowrank,1
gemma3_4b,leave_one_prompt::TC08,full,monarch,monarch,34
gemma3_4b,leave_one_prompt::TC10,full,banded,banded,2
gemma3_4b,leave_one_prompt::TC10,full,banded,lowrank,0
gemma3_4b,leave_one_prompt::TC10,full,banded,monarch,0
gemma3_4b,leave_one_prompt::TC10,full,lowrank,banded,0
gemma3_4b,leave_one_prompt::TC10,full,lowrank,lowrank,212
gemma3_4b,leave_one_prompt::TC10,full,lowrank,monarch,20
gemma3_4b,leave_one_prompt::TC10,full,monarch,banded,2
gemma3_4b,leave_one_prompt::TC10,full,monarch,lowrank,0
gemma3_4b,leave_one_prompt::TC10,full,monarch,monarch,36
gemma3_4b,leave_one_prompt::TR01,full,banded,banded,0
gemma3_4b,leave_one_prompt::TR01,full,banded,lowrank,0
gemma3_4b,leave_one_prompt::TR01,full,banded,monarch,0
gemma3_4b,leave_one_prompt::TR01,full,lowrank,banded,0
gemma3_4b,leave_one_prompt::TR01,full,lowrank,lowrank,185
gemma3_4b,leave_one_prompt::TR01,full,lowrank,monarch,12
gemma3_4b,leave_one_prompt::TR01,full,monarch,banded,3
gemma3_4b,leave_one_prompt::TR01,full,monarch,lowrank,5
gemma3_4b,leave_one_prompt::TR01,full,monarch,monarch,67
gemma3_4b,leave_one_prompt::TR02,full,banded,banded,1
gemma3_4b,leave_one_prompt::TR02,full,banded,lowrank,0
gemma3_4b,leave_one_prompt::TR02,full,banded,monarch,0
gemma3_4b,leave_one_prompt::TR02,full,lowrank,banded,0
gemma3_4b,leave_one_prompt::TR02,full,lowrank,lowrank,186
gemma3_4b,leave_one_prompt::TR02,full,lowrank,monarch,12
gemma3_4b,leave_one_prompt::TR02,full,monarch,banded,2
gemma3_4b,leave_one_prompt::TR02,full,monarch,lowrank,5
gemma3_4b,leave_one_prompt::TR02,full,monarch,monarch,66
gemma3_4b,leave_one_prompt::TR05,full,banded,banded,1
gemma3_4b,leave_one_prompt::TR05,full,banded,lowrank,0
gemma3_4b,leave_one_prompt::TR05,full,banded,monarch,0
gemma3_4b,leave_one_prompt::TR05,full,lowrank,banded,0
gemma3_4b,leave_one_prompt::TR05,full,lowrank,lowrank,185
gemma3_4b,leave_one_prompt::TR05,full,lowrank,monarch,13
gemma3_4b,leave_one_prompt::TR05,full,monarch,banded,2
gemma3_4b,leave_one_prompt::TR05,full,monarch,lowrank,2
gemma3_4b,leave_one_prompt::TR05,full,monarch,monarch,69
gemma3_4b,leave_one_prompt::TR08,full,banded,banded,1
gemma3_4b,leave_one_prompt::TR08,full,banded,lowrank,0
gemma3_4b,leave_one_prompt::TR08,full,banded,monarch,0
gemma3_4b,leave_one_prompt::TR08,full,lowrank,banded,0
gemma3_4b,leave_one_prompt::TR08,full,lowrank,lowrank,181
gemma3_4b,leave_one_prompt::TR08,full,lowrank,monarch,14
gemma3_4b,leave_one_prompt::TR08,full,monarch,banded,2
gemma3_4b,leave_one_prompt::TR08,full,monarch,lowrank,1
gemma3_4b,leave_one_prompt::TR08,full,monarch,monarch,73
gemma3_4b,leave_one_prompt_macro,full,banded,banded,23
gemma3_4b,leave_one_prompt_macro,full,banded,lowrank,0
gemma3_4b,leave_one_prompt_macro,full,banded,monarch,1
gemma3_4b,leave_one_prompt_macro,full,lowrank,banded,0
gemma3_4b,leave_one_prompt_macro,full,lowrank,lowrank,2470
gemma3_4b,leave_one_prompt_macro,full,lowrank,monarch,190
gemma3_4b,leave_one_prompt_macro,full,monarch,banded,20
gemma3_4b,leave_one_prompt_macro,full,monarch,lowrank,18
gemma3_4b,leave_one_prompt_macro,full,monarch,monarch,542
gemma3_4b,group_split_by_model_task_layer,no_seq_len,banded,banded,5
gemma3_4b,group_split_by_model_task_layer,no_seq_len,banded,lowrank,0
gemma3_4b,group_split_by_model_task_layer,no_seq_len,banded,monarch,0
gemma3_4b,group_split_by_model_task_layer,no_seq_len,lowrank,banded,0
gemma3_4b,group_split_by_model_task_layer,no_seq_len,lowrank,lowrank,621
gemma3_4b,group_split_by_model_task_layer,no_seq_len,lowrank,monarch,52
gemma3_4b,group_split_by_model_task_layer,no_seq_len,monarch,banded,6
gemma3_4b,group_split_by_model_task_layer,no_seq_len,monarch,lowrank,0
gemma3_4b,group_split_by_model_task_layer,no_seq_len,monarch,monarch,132
gemma3_4b,leave_one_prompt::BZ01,no_seq_len,banded,banded,3
gemma3_4b,leave_one_prompt::BZ01,no_seq_len,banded,lowrank,0
gemma3_4b,leave_one_prompt::BZ01,no_seq_len,banded,monarch,0
gemma3_4b,leave_one_prompt::BZ01,no_seq_len,lowrank,banded,0
gemma3_4b,leave_one_prompt::BZ01,no_seq_len,lowrank,lowrank,219
gemma3_4b,leave_one_prompt::BZ01,no_seq_len,lowrank,monarch,20
gemma3_4b,leave_one_prompt::BZ01,no_seq_len,monarch,banded,1
gemma3_4b,leave_one_prompt::BZ01,no_seq_len,monarch,lowrank,0
gemma3_4b,leave_one_prompt::BZ01,no_seq_len,monarch,monarch,29
gemma3_4b,leave_one_prompt::BZ02,no_seq_len,banded,banded,3
gemma3_4b,leave_one_prompt::BZ02,no_seq_len,banded,lowrank,0
gemma3_4b,leave_one_prompt::BZ02,no_seq_len,banded,monarch,0
gemma3_4b,leave_one_prompt::BZ02,no_seq_len,lowrank,banded,0
gemma3_4b,leave_one_prompt::BZ02,no_seq_len,lowrank,lowrank,218
gemma3_4b,leave_one_prompt::BZ02,no_seq_len,lowrank,monarch,19
gemma3_4b,leave_one_prompt::BZ02,no_seq_len,monarch,banded,1
gemma3_4b,leave_one_prompt::BZ02,no_seq_len,monarch,lowrank,0
gemma3_4b,leave_one_prompt::BZ02,no_seq_len,monarch,monarch,31
gemma3_4b,leave_one_prompt::BZ05,no_seq_len,banded,banded,3
gemma3_4b,leave_one_prompt::BZ05,no_seq_len,banded,lowrank,0
gemma3_4b,leave_one_prompt::BZ05,no_seq_len,banded,monarch,0
gemma3_4b,leave_one_prompt::BZ05,no_seq_len,lowrank,banded,0
gemma3_4b,leave_one_prompt::BZ05,no_seq_len,lowrank,lowrank,220
gemma3_4b,leave_one_prompt::BZ05,no_seq_len,lowrank,monarch,14
gemma3_4b,leave_one_prompt::BZ05,no_seq_len,monarch,banded,1
gemma3_4b,leave_one_prompt::BZ05,no_seq_len,monarch,lowrank,0
gemma3_4b,leave_one_prompt::BZ05,no_seq_len,monarch,monarch,34
gemma3_4b,leave_one_prompt::BZ09,no_seq_len,banded,banded,3
gemma3_4b,leave_one_prompt::BZ09,no_seq_len,banded,lowrank,0
gemma3_4b,leave_one_prompt::BZ09,no_seq_len,banded,monarch,0
gemma3_4b,leave_one_prompt::BZ09,no_seq_len,lowrank,banded,0
gemma3_4b,leave_one_prompt::BZ09,no_seq_len,lowrank,lowrank,215
gemma3_4b,leave_one_prompt::BZ09,no_seq_len,lowrank,monarch,12
gemma3_4b,leave_one_prompt::BZ09,no_seq_len,monarch,banded,1
gemma3_4b,leave_one_prompt::BZ09,no_seq_len,monarch,lowrank,0
